period,stateid,stateDescription,sectorid,sectorName,price,price-units
2019-01,WA,Washington,ALL,all sectors,8.01,cents per kilowatthour
2019-01,WA,Washington,TRA,transportation,9.16,cents per kilowatthour
2019-01,WA,Washington,RES,residential,9.41,cents per kilowatthour
2019-01,WA,Washington,OTH,other,,cents per kilowatthour
2019-01,WA,Washington,IND,industrial,4.62,cents per kilowatthour
2019-01,WA,Washington,COM,commercial,8.72,cents per kilowatthour
2019-02,WA,Washington,ALL,all sectors,8.31,cents per kilowatthour
2019-02,WA,Washington,COM,commercial,8.84,cents per kilowatthour
2019-02,WA,Washington,IND,industrial,5.17,cents per kilowatthour
2019-02,WA,Washington,OTH,other,,cents per kilowatthour
2019-02,WA,Washington,RES,residential,9.5,cents per kilowatthour
2019-02,WA,Washington,TRA,transportation,9.59,cents per kilowatthour
2019-02,WA,Washington,ALL,all sectors,8.31,cents per kilowatthour
2019-02,WA,Washington,COM,commercial,8.84,cents per kilowatthour
2019-02,WA,Washington,IND,industrial,5.17,cents per kilowatthour
2019-02,WA,Washington,OTH,other,,cents per kilowatthour
2019-02,WA,Washington,RES,residential,9.5,cents per kilowatthour
2019-02,WA,Washington,TRA,transportation,9.59,cents per kilowatthour
2019-03,WA,Washington,ALL,all sectors,8.3,cents per kilowatthour
2019-03,WA,Washington,COM,commercial,8.93,cents per kilowatthour
2019-03,WA,Washington,IND,industrial,5.18,cents per kilowatthour
2019-03,WA,Washington,OTH,other,,cents per kilowatthour
2019-03,WA,Washington,RES,residential,9.56,cents per kilowatthour
2019-03,WA,Washington,TRA,transportation,9.43,cents per kilowatthour
2019-03,WA,Washington,ALL,all sectors,8.3,cents per kilowatthour
2019-03,WA,Washington,TRA,transportation,9.43,cents per kilowatthour
2019-03,WA,Washington,RES,residential,9.56,cents per kilowatthour
2019-03,WA,Washington,OTH,other,,cents per kilowatthour
2019-03,WA,Washington,IND,industrial,5.18,cents per kilowatthour
2019-03,WA,Washington,COM,commercial,8.93,cents per kilowatthour
2019-04,WA,Washington,ALL,all sectors,8,cents per kilowatthour
2019-04,WA,Washington,COM,commercial,8.75,cents per kilowatthour
2019-04,WA,Washington,IND,industrial,4.58,cents per kilowatthour
2019-04,WA,Washington,OTH,other,,cents per kilowatthour
2019-04,WA,Washington,RES,residential,9.83,cents per kilowatthour
2019-04,WA,Washington,TRA,transportation,9.38,cents per kilowatthour
2019-04,WA,Washington,ALL,all sectors,8,cents per kilowatthour
2019-04,WA,Washington,TRA,transportation,9.38,cents per kilowatthour
2019-04,WA,Washington,RES,residential,9.83,cents per kilowatthour
2019-04,WA,Washington,OTH,other,,cents per kilowatthour
2019-04,WA,Washington,IND,industrial,4.58,cents per kilowatthour
2019-04,WA,Washington,COM,commercial,8.75,cents per kilowatthour
2019-05,WA,Washington,ALL,all sectors,7.82,cents per kilowatthour
2019-05,WA,Washington,COM,commercial,8.76,cents per kilowatthour
2019-05,WA,Washington,IND,industrial,4.4,cents per kilowatthour
2019-05,WA,Washington,OTH,other,,cents per kilowatthour
2019-05,WA,Washington,RES,residential,9.93,cents per kilowatthour
2019-05,WA,Washington,TRA,transportation,9.32,cents per kilowatthour
2019-05,WA,Washington,ALL,all sectors,7.82,cents per kilowatthour
2019-05,WA,Washington,COM,commercial,8.76,cents per kilowatthour
2019-05,WA,Washington,IND,industrial,4.4,cents per kilowatthour
2019-05,WA,Washington,OTH,other,,cents per kilowatthour
2019-05,WA,Washington,RES,residential,9.93,cents per kilowatthour
2019-05,WA,Washington,TRA,transportation,9.32,cents per kilowatthour
2019-06,WA,Washington,ALL,all sectors,7.84,cents per kilowatthour
2019-06,WA,Washington,COM,commercial,8.77,cents per kilowatthour
2019-06,WA,Washington,IND,industrial,4.55,cents per kilowatthour
2019-06,WA,Washington,OTH,other,,cents per kilowatthour
2019-06,WA,Washington,RES,residential,10.04,cents per kilowatthour
2019-06,WA,Washington,TRA,transportation,9.51,cents per kilowatthour
2019-06,WA,Washington,ALL,all sectors,7.84,cents per kilowatthour
2019-06,WA,Washington,TRA,transportation,9.51,cents per kilowatthour
2019-06,WA,Washington,RES,residential,10.04,cents per kilowatthour
2019-06,WA,Washington,OTH,other,,cents per kilowatthour
2019-06,WA,Washington,IND,industrial,4.55,cents per kilowatthour
2019-06,WA,Washington,COM,commercial,8.77,cents per kilowatthour
2019-07,WA,Washington,ALL,all sectors,7.85,cents per kilowatthour
2019-07,WA,Washington,COM,commercial,8.62,cents per kilowatthour
2019-07,WA,Washington,IND,industrial,4.75,cents per kilowatthour
2019-07,WA,Washington,OTH,other,,cents per kilowatthour
2019-07,WA,Washington,RES,residential,9.86,cents per kilowatthour
2019-07,WA,Washington,TRA,transportation,9.43,cents per kilowatthour
2019-07,WA,Washington,ALL,all sectors,7.85,cents per kilowatthour
